avg_pts_last3,avg_pts_last5,form_trend,avg_minutes_last3,avg_xgi_last3,avg_ict_last3,avg_bps_last3,is_home,value,avg_fixture_difficulty,total_points,player_id,round
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,3,25
